"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Argentina,"233,696","189,802","94,25","116,267","130,544","98,599","118,565","121,561","142,386","91,352","158,024","211,979","255,787","264,429","287,835","288,497","304,282","327,436","334,244","316,998","317,759","300,421","112,458","142,431","164,911","199,273","232,892","287,921","363,545","334,633","424,729","527,644","579,666","611,471","563,614","642,464","556,774","643,861","524,431","446,762","385,218","487,377","630,662","654,892","604,26","558,957","592,49","629,443","663,404","694,081"
Bolivia,"3,589","3,44","3,813","3,609","3,752","4,059","3,97","4,323","4,598","4,716","4,868","5,335","5,635","5,724","5,974","6,707","7,385","7,919","8,49","8,269","8,385","8,155","7,917","8,092","8,785","9,573","11,52","13,216","16,792","17,464","19,786","24,135","27,282","30,883","33,237","33,241","34,189","37,782","40,581","41,193","36,897","40,703","44,315","46,473","49,334","52,52","55,752","59,205","62,871","66,761"
Brazil,"145,819","167,583","179,166","143,652","142,957","226,938","263,256","286,539","320,105","439,434","455,335","399,249","382,465","429,184","546,764","770,86","851,146","883,862","864,307","599,642","655,454","559,982","509,798","558,232","669,29","891,633","1107,628","1397,114","1695,855","1669,204","2208,704","2614,027","2464,053","2471,718","2456,055","1800,046","1796,622","2063,519","1916,934","1873,286","1476,092","1670,65","1951,849","2173,671","2331,391","2437,906","2596,117","2760,057","2903,891","3058,227"
Chile,"29,032","34,374","25,63","20,819","20,246","17,36","18,662","22,01","25,947","29,889","33,231","38,249","46,597","49,855","57,517","74,119","78,575","85,73","81,996","75,596","78,25","71,517","70,295","76,508","99,079","122,315","153,84","172,565","179,663","171,794","217,105","251,225","267,165","277,218","259,394","242,515","249,306","276,357","295,428","278,04","254,06","315,601","302,16","335,658","333,76","374,753","391,385","408,875","426,968","445,147"
Colombia,"46,501","50,661","54,252","53,92","53,257","48,581","48,648","50,64","54,592","55,048","56,071","57,954","68,579","77,721","97,665","110,564","116,13","127,49","117,725","103,132","99,27","97,606","97,353","94,072","116,382","145,601","161,793","206,23","242,505","232,469","286,498","334,966","370,691","382,094","381,24","293,492","282,719","311,89","334,124","323,055","270,348","318,525","345,33","363,616","386,076","400,48","417,861","439,433","462,1","485,35"
Ecuador,"16,116","16,501","16,474","14,478","15,408","18,02","13,222","12,355","11,749","11,531","11,71","13,139","14,367","16,783","20,238","21,98","23,001","25,847","26,292","18,891","17,531","23,127","27,054","30,965","35,195","40,279","45,691","49,849","61,139","60,095","68,151","78,987","87,735","96,57","102,718","97,21","97,671","104,467","107,479","107,596","95,865","107,435","116,586","120,175","121,592","124,408","128,731","133,47","138,747","144,301"
Guyana,"0,842","0,808","0,692","0,703","0,654","0,697","0,789","0,728","0,828","0,832","0,685","0,744","0,823","1,003","1,176","1,332","1,495","1,587","1,5","1,488","1,497","1,504","1,555","1,592","1,657","1,712","1,899","2,225","2,491","2,596","2,889","3,328","4,063","4,168","4,128","4,28","4,483","4,748","4,788","5,174","5,471","7,662","14,529","17,05","21,178","23,685","28,005","28,985","30,076","31,268"
Paraguay,"4,095","5,22","5,47","6,069","4,931","4,214","5,032","4,216","5,584","4,046","4,904","6,984","7,158","7,249","7,871","9,062","9,788","9,965","9,26","8,837","8,856","8,496","7,196","7,691","9,624","10,738","13,43","17,856","24,615","22,355","27,129","33,737","33,296","38,651","40,378","36,211","36,09","38,997","40,225","37,925","35,432","39,951","41,953","43,871","45,817","48,033","51,395","54,206","57,191","60,351"
Peru,"20,19","24,398","24,259","18,863","19,442","16,823","25,241","41,681","32,978","40,699","28,326","33,988","35,377","34,33","43,225","51,38","53,412","56,281","53,918","48,719","50,414","51,034","53,954","58,537","66,126","74,232","87,459","102,187","121,293","121,821","148,991","170,929","193,072","202,581","202,902","192,186","195,633","215,74","226,858","232,419","206,199","226,231","245,008","267,585","282,458","294,781","307,194","319,956","333,131","346,778"
Suriname,"1,276","1,427","1,469","1,419","1,387","1,402","1,43","1,573","1,864","2,177","0,577","0,637","0,59","0,465","0,523","0,993","1,234","1,322","1,588","1,308","1,355","1,167","1,474","1,729",2,"2,393","2,812","3,144","3,783","4,15","4,677","4,735","5,332","5,51","5,612","5,126","3,317","3,592","3,996","4,016","2,912","3,084","3,631","3,751","4,337","4,6","4,788","5,055","5,287","5,59"
Uruguay,"12,217","13,636","11,147","6,119","5,819","5,686","7,059","8,832","9,137","9,63","11,204","13,502","15,515","18,064","21,04","23,267","24,73","26,155","27,704","26,178","24,892","22,802","14,863","13,159","14,959","18,986","21,416","25,603","33,151","34,565","43,967","52,354","55,938","62,857","62,546","58,218","57,58","65,068","65,37","62,23","53,666","60,762","70,165","77,241","82,605","86,294","90,111","94,192","98,607","103,27"
Venezuela,"69,841","78,367","79,998","79,672","57,826","59,865","60,877","46,854","60,378","44,672","48,391","53,382","60,4","59,865","58,357","77,427","70,536","85,684","91,836","97,517","117,596","123,119","95,258","83,684","112,254","143,375","178,521","232,857","306,764","268,624","318,281","316,482","372,592","258,931","214,69","125,449","112,915","115,883","102,021","73,003","43,788","57,666","92,104","97,116","102,328","105,876",no data,no data,no data,no data
